MVP_ID,Innings,Venue,Start_Date,End_Date,Player_Name,Team,Total_Impact,Runs,Impact_Runs,Batting_Impact,Bowl,Impact_Wickets,Bowling_Impact,Balls_Faced,Wickets,Runs_Conceded
1,1st match (N),Bengaluru,18-April-2008,18-April-2008,Brendon McCullum,KKR,230.21,158,191.15,230.21,-,-,0,73,-,
2,1st match (N),Bengaluru,18-April-2008,18-April-2008,Ashley Noffke,RCB,24.91,9,9,4.22,1/40,1.28,20.69,10,1,40
3,1st match (N),Bengaluru,18-April-2008,18-April-2008,Ajit Agarkar,KKR,23,0,-,0,3/25,1.72,23,0,3,25
4,1st match (N),Bengaluru,18-April-2008,18-April-2008,Ashok Dinda,KKR,20.74,0,-,0,2/9,1.07,20.74,0,2,9
5,1st match (N),Bengaluru,18-April-2008,18-April-2008,Zaheer Khan,RCB,18.48,3,3,0.42,1/38,1.32,18.06,8,1,38
6,1st match (N),Bengaluru,18-April-2008,18-April-2008,Ishant Sharma,KKR,18.05,0,-,0,1/7,0.62,18.05,0,1,7
7,1st match (N),Bengaluru,18-April-2008,18-April-2008,Praveen Kumar,RCB,15.82,18,18,11.95,0/38,-,3.87,15,0,38
8,1st match (N),Bengaluru,18-April-2008,18-April-2008,Sourav Ganguly,KKR,13.29,10,6.74,2.53,2/21,0.72,10.77,12,2,21
9,1st match (N),Bengaluru,18-April-2008,18-April-2008,Jacques Kallis,RCB,13.27,8,8,4.74,1/48,1.23,8.52,7,1,48
10,1st match (N),Bengaluru,18-April-2008,18-April-2008,Ricky Ponting,KKR,9.17,20,16.08,9.17,-,-,0,20,-,
11,1st match (N),Bengaluru,18-April-2008,18-April-2008,David Hussey,KKR,4.11,12,9.78,4.11,-,-,0,12,-,
12,1st match (N),Bengaluru,18-April-2008,18-April-2008,Sunil Joshi,RCB,4.09,3,3,2,0/26,-,2.09,6,0,26
13,1st match (N),Bengaluru,18-April-2008,18-April-2008,Mohammad Hafeez,KKR,3.64,5,4.5,3.64,-,-,0,3,-,
14,1st match (N),Bengaluru,18-April-2008,18-April-2008,Mark Boucher,RCB,1.71,7,7,1.71,-,-,0,9,-,
15,1st match (N),Bengaluru,18-April-2008,18-April-2008,Wriddhiman Saha,KKR,0,0,-,0,-,-,0,0,-,
16,1st match (N),Bengaluru,18-April-2008,18-April-2008,Murali Kartik,KKR,0,0,-,0,-,-,0,0,-,
17,1st match (N),Bengaluru,18-April-2008,18-April-2008,Rahul Dravid,RCB,- 0.05,2,1.87,- 0.05,-,-,0,3,-,
18,1st match (N),Bengaluru,18-April-2008,18-April-2008,Laxmi Shukla,KKR,- 1.26,0,-,0,1/12,0.29,- 1.26,0,1,12
19,1st match (N),Bengaluru,18-April-2008,18-April-2008,Balachandra Akhil,RCB,- 1.69,0,-,- 1.69,-,-,0,2,-,
20,1st match (N),Bengaluru,18-April-2008,18-April-2008,Virat Kohli,RCB,- 3.15,1,0.82,- 3.15,-,-,0,5,-,
21,1st match (N),Bengaluru,18-April-2008,18-April-2008,Wasim Jaffer,RCB,- 6.47,6,5.31,- 6.47,-,-,0,16,-,
22,1st match (N),Bengaluru,18-April-2008,18-April-2008,Cameron White,RCB,- 19.84,6,6,- 0.47,0/24,-,- 19.37,10,0,24
23,2nd match (D/N),Mohali,19-April-2008,19-April-2008,Michael Hussey,CSK,109.71,116,117.27,109.71,-,-,0,54,-,
24,2nd match (D/N),Mohali,19-April-2008,19-April-2008,James Hopes,PBKS,82.43,71,71.44,56.63,1/53,1.32,25.8,33,1,53
25,2nd match (D/N),Mohali,19-April-2008,19-April-2008,Irfan Pathan,PBKS,48.15,3,3,- 1.95,2/47,2.84,50.1,5,2,47
26,2nd match (D/N),Mohali,19-April-2008,19-April-2008,Brett Lee,PBKS,47.79,0,-,0,1/35,1.4,47.79,0,1,35
27,2nd match (D/N),Mohali,19-April-2008,19-April-2008,Suresh Raina,CSK,46.89,32,40.09,46.89,-,-,0,13,-,
28,2nd match (D/N),Mohali,19-April-2008,19-April-2008,Kumar Sangakkara,PBKS,34.71,54,53.88,34.71,-,-,0,33,-,
29,2nd match (D/N),Mohali,19-April-2008,19-April-2008,Wilkin Mota,PBKS,25.43,0,-,0,1/24,1.27,25.43,0,1,24
30,2nd match (D/N),Mohali,19-April-2008,19-April-2008,S Badrinath,CSK,23.91,31,29.9,23.91,-,-,0,14,-,
31,2nd match (D/N),Mohali,19-April-2008,19-April-2008,Matthew Hayden,CSK,21.04,25,23.89,21.04,-,-,0,17,-,
32,2nd match (D/N),Mohali,19-April-2008,19-April-2008,Yuvraj Singh,PBKS,15.21,23,23,15.21,-,-,0,13,-,
33,2nd match (D/N),Mohali,19-April-2008,19-April-2008,Parthiv Patel,CSK,13.88,15,15.29,13.88,-,-,0,10,-,
34,2nd match (D/N),Mohali,19-April-2008,19-April-2008,Muthiah Muralidaran,CSK,10.64,0,-,0,1/33,0.45,10.64,0,1,33
35,2nd match (D/N),Mohali,19-April-2008,19-April-2008,Karan Goel,PBKS,8.83,24,23.88,9.41,0/25,-,- 0.58,19,0,25
36,2nd match (D/N),Mohali,19-April-2008,19-April-2008,Simon Katich,PBKS,7.78,21,21,7.78,-,-,0,17,-,
37,2nd match (D/N),Mohali,19-April-2008,19-April-2008,Jacob Oram,CSK,6.3,13,10.12,2.34,0/37,-,3.96,10,0,37
38,2nd match (D/N),Mohali,19-April-2008,19-April-2008,Manpreet Gony,CSK,5.59,0,-,0,1/42,0.5,5.59,0,1,42
39,2nd match (D/N),Mohali,19-April-2008,19-April-2008,Palani Amarnath,CSK,5.15,0,-,0,1/42,0.48,5.15,0,1,42
40,2nd match (D/N),Mohali,19-April-2008,19-April-2008,Joginder Sharma,CSK,4.06,0,-,0,1/47,0.59,4.06,0,1,47
41,2nd match (D/N),Mohali,19-April-2008,19-April-2008,Sreesanth,PBKS,2.93,0,-,0,0/35,-,2.93,0,0,35
42,2nd match (D/N),Mohali,19-April-2008,19-April-2008,Pankaj Dharmani,PBKS,0,0,-,0,-,-,0,0,-,
43,2nd match (D/N),Mohali,19-April-2008,19-April-2008,MS Dhoni,CSK,- 4.25,2,- 0.51,- 4.25,-,-,0,3,-,
44,2nd match (D/N),Mohali,19-April-2008,19-April-2008,Piyush Chawla,PBKS,- 9.63,0,-,0,0/19,-,- 9.63,0,0,19
45,3rd match (N),Delhi,19-April-2008,19-April-2008,Farveez Maharoof,DC,59.56,0,-,0,2/11,2.35,59.56,0,2,11
46,3rd match (N),Delhi,19-April-2008,19-April-2008,Shane Watson,RR,57.38,21,27.98,34.18,1/31,1.65,23.21,15,1,31
47,3rd match (N),Delhi,19-April-2008,19-April-2008,Gautam Gambhir,DC,51.03,58,61.46,51.03,-,-,0,46,-,
48,3rd match (N),Delhi,19-April-2008,19-April-2008,Rajat Bhatia,DC,45.9,0,-,0,2/17,2.03,45.9,0,2,17
49,3rd match (N),Delhi,19-April-2008,19-April-2008,Ravindra Jadeja,RR,42.3,29,36.65,42.3,-,-,0,23,-,
50,3rd match (N),Delhi,19-April-2008,19-April-2008,Shikhar Dhawan,DC,38.6,52,51.63,38.6,-,-,0,41,-,
51,3rd match (N),Delhi,19-April-2008,19-April-2008,Glenn McGrath,DC,36.88,0,-,0,1/21,1.24,36.88,0,1,21
52,3rd match (N),Delhi,19-April-2008,19-April-2008,Dinesh Salunkhe,RR,30.11,26,29.94,32.82,0/11,-,- 2.71,20,0,11
53,3rd match (N),Delhi,19-April-2008,19-April-2008,Virender Sehwag,DC,20.1,12,15.47,20.1,-,-,0,4,-,
54,3rd match (N),Delhi,19-April-2008,19-April-2008,Yusuf Pathan,RR,19.34,10,15.3,20.66,0/17,-,- 1.32,5,0,17
55,3rd match (N),Delhi,19-April-2008,19-April-2008,Shane Warne,RR,12.52,14,14.48,13.88,0/16,-,- 1.36,13,0,16
56,3rd match (N),Delhi,19-April-2008,19-April-2008,Daniel Vettori,DC,6.71,0,-,0,1/35,0.84,6.71,0,1,35
57,3rd match (N),Delhi,19-April-2008,19-April-2008,Manoj Tiwary,DC,0,0,-,0,-,-,0,0,-,
